"No","Role","Module","Page","Route","ScreenshotFile","Required","Status","CaptureMethod","Owner","CapturedDate","ReviewedBy","Remark"
"55","superadmin","Leave Management","Approval Chain","/admin/approval-chains","superadmin/approval-chain.png","Yes","Pending","Playwright","TBD","","","Requires `LeaveAdmin.ManageApprovalChains`"
"56","superadmin","Leave Management","Holiday List","/admin/leave-holidays","superadmin/holiday-list.png","Yes","Pending","Playwright","TBD","","","Requires `LeaveAdmin.ManageHolidays`"
"57","superadmin","SuperAdmin","Audit Log","/admin/audit-logs","superadmin/audit-log.png","Yes","Pending","Playwright","TBD","","","Requires `SystemSettings.View`"
"58","superadmin","SuperAdmin","Activity Log","/admin/audit-logs","superadmin/activity-log.png","Yes","Pending","Manual","TBD","","","Same route unless separate activity view exists"
"59","superadmin","SuperAdmin","System Setting","/admin/system-settings","superadmin/system-setting.png","Yes","Pending","Playwright","TBD","","","Requires `SystemSettings.View`"
"60","superadmin","SuperAdmin","Notification Setting/LINE Settings","/admin/line-settings","superadmin/notification-setting.png","Yes","Pending","Playwright","TBD","","","Menu uses LINE settings as notification configuration"
"61","superadmin","SuperAdmin","LINE Users","/admin/line-users","superadmin/line-users.png","No","Pending","Playwright","TBD","","","Requires `System.Line.TestSend` or `SystemSettings.View`"
"62","superadmin","Common","Profile","/profile","common/profile-superadmin.png","Yes","Pending","Playwright","TBD","","","Protected route, no specific permission guard"
"63","superadmin","Leave Management","Create Leave Denied","/leave/create","superadmin/leave-create-denied.png","Yes","Pending","Playwright","TBD","","","Frontend role guard denies Admin/SuperAdmin"

